english;french
All-weather;Tous temps
Aloft;Dans la mâture
Alongside;A quai
Alongside;Bord (le long du)
Alongside;Bord à bord
Alongside or at sea;A quai ou à la mer
Alongside (alongside the jetty/berth;Long du quai le
Alongside (alongside the ship);Long du bord le
Alongside (to come);Accoster
Alongside (to lie);Etre à quai
Alongside abeam (RAS);Couple (à)
Alphanumeric code symbol;Indice alphanumérique
Alphanumeric index;Répertoire alphanumérique
Alphanumeric symbol;Indice alphanumérique
Alter;Changer
Alter course (to);Abattre
Alteration of course;Abattée
Alteration of course;Evolution
Alteration/modification/change;Modification
Alternate action latching pushbutton;Bouton-poussoir inverseur à verrouil
Alternating copolymer;Copolymère alterné
Alternating copolymerization;Copolymérisation alterné
Alternating positions (in);Décalés
Alternating stress;Sollicitation alternante ou alternée
Alternation;Alternance
Alternative;Variante
Alternative  test source;Etalon de remplacement pour essai d'
Alternative form of nose;Forme alternative des rabats
Alternative headquarters;PC de relève
Alternative heat test source;Etalon de Remplacement pour Essai d'
Alternative lamp stowage patch (on l;Macaron alternatif de fixation de bo
Alternator rotating mass;Masse tournante d'alternateur
Alternator indicator;Alternateur tachymétrique
Altimeter;Altimètre
Altimeter aneroid;Altimètre anéroïde
Altimeter barometric;Altimètre barométrique
Altimetry;Altimétrie
Altitude datum;Surface de référence de mesure d'alt
Altitude (eg  altitude indicated on;Altitude - évaluée à bord d'un avion
Altitude vulnerable;Altitude sensible
Aluminium hydrate;Hydrate d'alumine
Aluminium oxide;Alumine
Aluminium (sheet extruded or cast);Aluminium (feuille injecté ou moulé
Amber (light);Orange (voyant)
Ambiant cure;Durcissement à température ambiante
Ambient;Ambiant
Ambient pressure in undisturbed flow;Pression ambiante en écoulement non
Ambient vibration;Ambiance vibratoire
Amendment;Amendement
Amendment;Modification
Amendment / additional clause / codi;Avenant
American National Coarse Thread;ANCT
Amidships;Au milieu du navire
Amidships;Centre du navire (au)
Amidships;Milieu du navire au
Amidships;Milieu au
Aminoplastic;Aminoplaste
Ammeter;Ampèremètre
Ammeter hot-wire;Ampèremètre thermique
Ammonium picrate;Picrate d'ammonium
Ammunition bin;Alvéole à munitions
Ammunition feed control box;Coffret gestion des munitions
Ammunition handler;Pourvoyeur
Ammunition ready-use (R.U.) magazine;Soute munitions relais
Ammunition route;Chemin de ravitaillement de munition
Ammunition / ordnance;Munitions
Ammunitioning routes;Parcours/chemin de mise en soute des
Ammunition ball;Munition à balle
Ammunition conventional;Munitions conventionnelles
Ammunition fixed;Munition encartouchée
Ammunition special;Munitions spéciales
Ammunition tracer;Munition traceuse
Amorphous;Amorphe
Amount of unbalance OR unbalance val;Valeur du balourd
Amount of unbalance OR unbalance val;Valeur du balourd
Amount of wheel applied;Angle de braquage
Amount of wire veered;Longueur de brin filé
Amount subject to penalties;Valeur pénalisable
Ampere;Ampère
Ampere per metrre;Ampère par mètre
Ampere per square metre;Ampère par mètre carré
Ampere square metre;Ampère mètre carré
Ampere-hour;Ampère-heure
Ampere-turn;Ampère-tour
Amphibious;Amphibie
Amplification (operation);Amplification
Amplifier;Amplificateur
Amplifier output current characteris;Courant délivré par les amplificateu
Amplifier power gain;Gain de l'amplificateur (amplificati
Amplifier-scanner;Amplificateur explorateur
Amplifier DC coupled;Amplificateur (de sortie) à courant
Amplifier DC coupled;Amplificateur de sortie
Amplifier Push-Pull;Amplificateur push-pull
Amplifier audio frequency;Amplificateur b.f. (basse fréquence)
Amplifier bandpass;Amplificateur filtre passe bande
Amplifier buffer;Amplificateur séparateur
Amplifier charge;Amplificateur de charge
Amplifier chopper;Amplificateur  à découpage
Amplifier clipping;Amplificateur limite
Amplifier crossed-field;Amplificateur à champs croisé
Amplifier deflection  (x or y);Amplificateur de balayage (x ou y)
Amplifier delay-line;Amplificateur à lar
Amplifier differential;Amplificateur de comparaison
Amplifier differentiator;Amplificateur différenciateur
Amplifier driver;Amplificateur de commande
Amplifier driving;Amplificateur de commande
Amplifier echo sounder;Amplificateur de sondeur ultrasonore
Amplifier electronic transconductan;Amplificateur de transconductance él
Amplifier feedback stabilised;Amplificateur contre-réactionné
Amplifier heading servo;Amplificateur d'asservissement de ca
Amplifier high gain  (non inverting;Amplificateur à grand gain (non-inve
Amplifier image;Amplificateur de luminance
Amplifier integrator;Amplificateur intégrateur
Amplifier inverting;Amplificateur avec inversion -logiqu
Amplifier limiting;Amplificateur limite
Amplifier linear;Amplificateur linéaire
Amplifier logarithmic (log Amp);Amplificateur logarithmique (ampli l
Amplifier low-drift;Amplificateur à faible dérive
Amplifier low-noise;Amplificateur à faible bruit
Amplifier magnetic;Amplificateur magnétique
Amplifier narrow band;Amplificateur à bande étroite
Amplifier operational;Amplificateur asservi
Amplifier parametric  (par amp);Amplificateur paramétrique (ampli pa
Amplifier power;Amplificateur de puissance
Amplifier repeater track;Amplificateur répétiteur de route
Amplifier rotary drive;Amplificateur de commande rotative
Amplifier servo;Amplificateur d'asservissement
Amplifier slaving;Amplificateur d'asservissement
Amplifier summing;Amplificateur somme
Amplifier summing;Sommateur (circuit analogique)
Amplifier variable gain;Amplificateur à gain variable
Amplifier video (and bright-up card;Amplificateur vidéo-allumage
Amplifier wide-band;Amplificateur à large bande
Amplify (to);Amplifier
Amplitude;Amplitude
Amplitude gate;Dispositif écrêteur
Amplitude of equipment motion;Débattement d'auxiliaire
Amplitude alternating stress;Amplitude de tension de sollicitatio
Amplitude distortion;Amplitude de déformation
Amplitude peak;Amplitude de crête
Amplitude pitch;Amplitude de tangage
Amplitude roll;Amplitude de roulis
Amplitude scan;Amplitude de balayage
Amplitude significant single;Amplitude unique significative
Amplitude yaw-oscillation;Amplitude des oscillations d'embardé
Analogue mimics;"Synoptique en ""dur"""
Analogue navigational data repeaters;Distribution et répétition des infor
Analogue shift register;Registre à transfert analogique
Analogue-digital conversion of voice;Conversion analogique-numérique de s
Analysis;Analyse
Analysis pitch;Avance par tour à poussée nulle
Analysis ASUW system functional;Analyse Fonctionnelle Syst. de Lutte
Analysis Automatic Target Motion;Analyse automatique de mouvement de
Analysis acoustic intensity;Analyse d'intensité acoustique
Analysis age reliability;Analyse de la fiabilité en fonction
Analysis crack propagation;Analyse des conditions de propagatio
Analysis degradation;Analyse de la dégradation
Analysis differential calorimetric;Analyse calorimétrique différentiell
Analysis differential thermal;Analyse thermique différentielle
Analysis factor;Analyse factorielle
Analysis failure;Analyse de la panne
Analysis failure;Analyse des défaillances
Analysis failure mode effect critic;Analyse de criticité des modes de dé
Analysis failure modes and effect;Analyse des modes de défaillance et
Analysis failure modes effects and;Analyse des modes de défaillance de
Analysis fatigue;Analyse de fatigue
Analysis fault tree;Analyse arbre de défaut
Analysis finite element;Calcul par éléments finis
Analysis functional;Analyse fonctionnelle
Analysis gas chromatographic;Chromatographie en phase gazeuse
Analysis heat;Analyse sur coulée
Analysis iodometric;Dosage iodométrique
Analysis level of repair;Analyse de niveau de réparation
Analysis load;Bilan électrique
Analysis logistic support;Analyse de soutien logistique
Analysis modal;Analyse modale
Analysis oil;Analyses d'huile
Analysis particle fineness;Analyse finesse des particules
Analysis quantative;Dosage
Analysis radar error;Analyse d'erreurs radar
Analysis real-time;Analyse en temps réel
Analysis sequential;Analyse séquentielle
Analysis spectral;Analyse spectrale
Analysis target signature;Analyse de signature de cible
Analysis three-dimensional;Analyse tridimensionnelle
Analysis transient;Analyse de phénomènes transitoires
Analysis value;Analyse de la valeur
Analyzer frequency (elec);Analyseur de fréquence
Analyzer gas;Analyseur de gaz
Analyzer interference;analyseur d'intérférence
Analyzer particle size  (particulat;Analyseur de dimensions de particule
Analyzerreal-time spectrum;Analyseur de spectres en temps réel
Analyzersignal;Analyseur de signaux
Anchor;Ancre
Anchor  pea;Bec d'ancre
Anchor aweigh;L'ancre est dérapée
Anchor a-cock-bill;L'ancre est en péneau
Anchor bill;Bec d'ancre
Anchor by the stern (to);Mouiller de l'arrière en croupière
Anchor cable up and down;"La chaîne tire à l'aplomb ""à pic"""
Anchor cables / cable gear (sets of.;Lignes de mouillage
Anchor capstan;Guindeau cabestan
Anchor chain/anchor cable;Chaîne d'ancre/de mouillage
Anchor chock;Support d'ancre
Anchor crown;Diamant d'ancre
Anchor crown;Flèche d'ancre
Anchor fluke chock;Flasque d'ancre
Anchor fluke / anchor palm;Patte d'ancre
Anchor head;Massif
Anchor housed;Ancre à poste
Anchor in the roads (to);Mouillage sur rade
Anchor is at long stay;L'ancre est à long pic
Anchor is dragging;Ancre chasse (l')
Anchor is foul;L'ancre est engagée
"Anchor is in sight and clear (""Ancho";L'ancre est haute et claire
Anchor recess/housing/pocket;Logement de l'ancre
Anchor secured;Ancre saisie
Anchor shaft or anchor shank;Verge de l'ancre
Anchor shoe;Savate
Anchor stations ! Cable party close;Aux postes de mouillage !
Anchor stock;Jas de l'ancre
Anchor stopper;Saisine d'ancre
Anchor stowage;Caisson d'ancre
Anchor watch;Quart au mouillage
Anchor (the) is coming home;L'ancre vient à bord
Anchor (the) is dragging;L'ancre chasse
Anchor (the) is holding;L'ancre croche
Anchor (the) is holding;L'ancre est en prise
Anchor (the) is holding;L'ancre mord
Anchor (to weigh);Ancre lever l'
Anchor (to);Mouiller ancrer
Anchor (to) come to anchor;Mouiller venir au mouillage
Anchor (to)/come to anchor/drop the;Ancrer/mouiller/venir au mouillage
Anchorage/anchoring position;Poste de mouillage
Anchoring;Mouillage
Anchoring and mooring;Mouillage prise de coffre
Anchoring (operation);Manoeuvre de mouillage
Anchors cables and associated deck;Installations/lignes de mouillage
Anchorwork;Ancres manoeuvre des
Anchor AC14 solid fluked with hig;Ancre type AC14 h.résist. à pattes m
Anchor back;Ancre d'empennelage
Anchor bower;Ancre de bossoir
Anchor danbuoy;Ancre de bouée DAN
Anchor driving or drag;Ancre flottante de cape
Anchor foul;Ancre engagée
Anchor ground;Ancre de fond
Anchor high holding-power;Ancre à haut pouvoir de tenue
Anchor kedge;Ancre à jet
Anchor mooring;Ancre d'affourchage
Anchor mud;Crapaud
Anchor mushroom;Crapaud d'amarrage
Anchor offshore;Ancre du large
Anchor one arm;Ancre de corps-mort
Anchor one-arm;Ancre borgne
Anchor patent;Ancre à pattes articulées
Anchor riding;Ancre qui porte
Anchor sea (on liferaft);Ancre flottante
Anchor sheet;Ancre de veille
Anchor stern;Ancre de détroit
Anchor stern;Ancre de poupe
Anchor stocked;Ancre à jas
Anchor stocked close-stowing;Ancre de mouillage - type Danforth
Anchor stockless;Ancre à pattes mobiles
Anchor stockless;Ancre classique à pattes articulées
Anchor stockless;Ancre sans jas
Anchor stream;Ancre d'embossage
Anchor stream;Ancre de détroit
Anchor stream;Ancre de touée
Anchor/mooring cable;Mouillage ligne de
Ancillary equipment interface;Interface de servitude
Ancillary spaces;Dépendances
Ancillary systems;Servitudes
Ancillary (GB);Auxiliaire
Anechoic chamber/soundproof room;Chambre sourde (pour mesures acousti
Anechoic tile;Carreau anéchoïde
Anemometer;Capteur d'anémomètre
Aneroid capsule;Capsule barométrique
Angle;Angle
Angle;Encoignure
Angle bar angle;Cornière
Angle between wave component directi;Angle formé par la direction d'une c
Angle drive (pulley assy);Renvoi d'angle (ensemble des poulies
Angle made good between course and c;Angle de compensation de dérive
Angle of  heel;Angle de gîte
Angle of attack;Angle d'attaque
Angle of attack correction factor fo;Facteur de correction de l'angle d'a
Angle of attack or incidence;Angle d'attaque
Angle of attack (US);Angle d'incidence
Angle of attack (wing);Angle d'incidence
Angle of bending deformation (beams);Angle de déformation en flexion (thé
Angle of convergence (optics);Angle de convergence (optique)
Angle of deviation (optics);Angle de déviation (optique)
Angle of diverging wave;Angle de divergence des vagues
Angle of drift or side-slip;Angle de dérive
Angle of entrance;Angle d'entrée
Angle of entrance half;Angle d'entrée demi
Angle of entry;Angle d'entrée
Angle of heel or list (when ship is;Bande permanente
Angle of incidence;Angle d'attaque
Angle of incidence;Angle d'incidence
Angle of inclination;Angle de pente
Angle of loll;Angle de gîte permanente( bd-td & td
Angle of pitch or trim;Angle d'assiette
Angle of rake;Angle d'inclinaison
Angle of reflection (optics);Angle de réflexion (optique)
Angle of refraction;Angle de réfraction
Angle of roll heel or list (positiv;Angle de roulis ou de gîte (sens pos
Angle of run;Angle de sortie
Angle of run half;Angle de sortie demi
Angle of the fins;Incidence des ailerons
Angle of trim;Angle d'assiette
Angle of twist per unit length;Angle de torsion par unité de longue
Angle of twist torsion angle;Angle de torsion
Angle of unbalance;Angle du balourd
Angle of vanishing stability;Angle de chavirement statique
Angle of view (optics);Angle de visée (optique)
Angle of wave direction;Angle de direction des vagues
Angle of wave encounter;Angle de rencontre
Angle of yaw heading or course (pos;Angle d'embardée ou de cap (sens pos
Angle of zero lift;Angle de portance nulle
Angle of zero lift;Angle de poussée nulle
Angle plate;Gousset en équerre
Angle reference marks;Marques de référence d'angle
